epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
80,11904.7,0.00884,0.99367,1,1.54927,0.002179,0.002179,0.002179
81,12049.9,0.0137,0.99367,1,1.54929,0.00208,0.00208,0.00208
82,12193.1,0.0098,0.99367,1,1.54948,0.001981,0.001981,0.001981
83,12336.2,0.00927,0.99416,1,1.54941,0.001882,0.001882,0.001882
84,12481.4,0.00766,0.99416,1,1.54924,0.001783,0.001783,0.001783
85,12621.9,0.00826,0.99416,1,1.54927,0.001684,0.001684,0.001684
86,12764.7,0.00853,0.99416,1,1.5494,0.001585,0.001585,0.001585
87,12906.8,0.00702,0.99319,1,1.54932,0.001486,0.001486,0.001486
88,13047,0.00732,0.9927,1,1.54941,0.001387,0.001387,0.001387
89,13187.3,0.00663,0.99319,1,1.54949,0.001288,0.001288,0.001288
90,13327.6,0.00797,0.99319,1,1.54936,0.001189,0.001189,0.001189
91,13521,0.00865,0.99319,1,1.54994,0.00109,0.00109,0.00109
92,13672.8,0.00618,0.99319,1,1.54937,0.000991,0.000991,0.000991
93,13824.3,0.00784,0.99319,1,1.54937,0.000892,0.000892,0.000892
94,13977,0.0051,0.99319,1,1.54937,0.000793,0.000793,0.000793
95,14128.2,0.00441,0.99319,1,1.54938,0.000694,0.000694,0.000694
96,14277.1,0.00816,0.99319,1,1.5494,0.000595,0.000595,0.000595
97,14428.7,0.00472,0.99319,1,1.5495,0.000496,0.000496,0.000496
98,14580,0.00472,0.99319,1,1.54937,0.000397,0.000397,0.000397
99,14730.7,0.00722,0.99319,1,1.54936,0.000298,0.000298,0.000298
100,14883.5,0.00509,0.99319,1,1.54936,0.000199,0.000199,0.000199
