epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,2064.37,0.01104,1,1,0.74577,0.000169718,0.000169718,0.000169718
79,2090.3,0.01227,1,1,0.74638,0.000162649,0.000162649,0.000162649
80,2115.96,0.00969,0.99454,1,0.75427,0.000155581,0.000155581,0.000155581
81,2143.15,0.01024,1,1,0.74536,0.000148512,0.000148512,0.000148512
82,2167.76,0.00998,0.99454,1,0.75045,0.000141443,0.000141443,0.000141443
83,2195.15,0.01547,0.99454,1,0.74813,0.000134375,0.000134375,0.000134375
84,2221.85,0.01617,0.99454,1,0.75146,0.000127306,0.000127306,0.000127306
85,2247.12,0.01278,1,1,0.74825,0.000120238,0.000120238,0.000120238
86,2275.6,0.00797,1,1,0.74581,0.000113169,0.000113169,0.000113169
87,2302.34,0.00844,1,1,0.74797,0.0001061,0.0001061,0.0001061
88,2330.03,0.01392,0.99454,1,0.75464,9.90318e-05,9.90318e-05,9.90318e-05
89,2357.84,0.01106,0.99454,1,0.74736,9.19632e-05,9.19632e-05,9.19632e-05
90,2383.37,0.01074,0.99454,1,0.74951,8.48946e-05,8.48946e-05,8.48946e-05
91,2454.94,0.00754,1,1,0.74756,7.7826e-05,7.7826e-05,7.7826e-05
92,2470.53,0.0081,1,1,0.74646,7.07574e-05,7.07574e-05,7.07574e-05
93,2486.91,0.01028,0.99454,1,0.74967,6.36888e-05,6.36888e-05,6.36888e-05
94,2514.68,0.00568,0.99454,1,0.74801,5.66202e-05,5.66202e-05,5.66202e-05
95,2543.13,0.00752,1,1,0.74736,4.95516e-05,4.95516e-05,4.95516e-05
96,2571.96,0.00578,1,1,0.74552,4.2483e-05,4.2483e-05,4.2483e-05
97,2603,0.00786,1,1,0.74548,3.54144e-05,3.54144e-05,3.54144e-05
98,2628.43,0.0069,1,1,0.74646,2.83458e-05,2.83458e-05,2.83458e-05
99,2654.61,0.00913,1,1,0.74626,2.12772e-05,2.12772e-05,2.12772e-05
100,2678.99,0.00523,1,1,0.74679,1.42086e-05,1.42086e-05,1.42086e-05
