epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
81,14633.6,0.15149,0.87993,1,1.03072,0.00208,0.00208,0.00208
82,14767.5,0.13368,0.8803,1,1.03026,0.001981,0.001981,0.001981
83,14900.4,0.12297,0.88067,1,1.03017,0.001882,0.001882,0.001882
84,15034,0.13636,0.87993,1,1.03192,0.001783,0.001783,0.001783
85,15168.3,0.13152,0.87993,1,1.03019,0.001684,0.001684,0.001684
86,15301.3,0.13236,0.87955,1,1.03282,0.001585,0.001585,0.001585
87,15435.5,0.12502,0.87993,1,1.03047,0.001486,0.001486,0.001486
88,15571,0.11733,0.87993,1,1.0315,0.001387,0.001387,0.001387
89,15710,0.12246,0.8803,1,1.03225,0.001288,0.001288,0.001288
90,15847.1,0.10226,0.8803,1,1.03009,0.001189,0.001189,0.001189
91,16043.9,0.10636,0.87955,1,1.03143,0.00109,0.00109,0.00109
92,16179.8,0.10778,0.87881,1,1.03017,0.000991,0.000991,0.000991
93,16317.5,0.10317,0.87807,1,1.0326,0.000892,0.000892,0.000892
94,16455.4,0.09875,0.87695,1,1.03274,0.000793,0.000793,0.000793
95,16594.7,0.08606,0.8777,1,1.03028,0.000694,0.000694,0.000694
96,16733.7,0.08283,0.87732,1,1.03033,0.000595,0.000595,0.000595
97,16866.3,0.0871,0.87658,1,1.03168,0.000496,0.000496,0.000496
98,17000.2,0.07782,0.87695,1,1.03257,0.000397,0.000397,0.000397
99,17134.4,0.07848,0.87658,1,1.03053,0.000298,0.000298,0.000298
100,17268.2,0.07671,0.87658,1,1.03306,0.000199,0.000199,0.000199
