epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
81,27425.6,0.01611,0.99542,1,1.04958,0.00208,0.00208,0.00208
82,27815.2,0.02206,0.99542,1,1.04954,0.001981,0.001981,0.001981
83,28195,0.01748,0.99577,1,1.04951,0.001882,0.001882,0.001882
84,28572.9,0.02361,0.99577,1,1.04946,0.001783,0.001783,0.001783
85,28949.7,0.01762,0.99577,1,1.04941,0.001684,0.001684,0.001684
86,29319.6,0.0187,0.99577,1,1.0494,0.001585,0.001585,0.001585
87,29692.4,0.01499,0.99577,1,1.04935,0.001486,0.001486,0.001486
88,30064.2,0.01728,0.99577,1,1.04931,0.001387,0.001387,0.001387
89,30434.1,0.01484,0.99577,1,1.04929,0.001288,0.001288,0.001288
90,30807.4,0.01284,0.99577,1,1.04927,0.001189,0.001189,0.001189
91,31244.4,0.01512,0.99577,1,1.04928,0.00109,0.00109,0.00109
92,31582.2,0.01445,0.99577,1,1.04923,0.000991,0.000991,0.000991
93,31918.1,0.01407,0.99577,1,1.04916,0.000892,0.000892,0.000892
94,32259.4,0.01218,0.99542,1,1.04937,0.000793,0.000793,0.000793
95,32598.3,0.01176,0.99542,1,1.04912,0.000694,0.000694,0.000694
96,32935.2,0.01216,0.99542,1,1.04911,0.000595,0.000595,0.000595
97,33276.8,0.0112,0.99542,1,1.04907,0.000496,0.000496,0.000496
98,33613,0.01148,0.99542,1,1.04909,0.000397,0.000397,0.000397
99,33955.6,0.01026,0.99577,1,1.04901,0.000298,0.000298,0.000298
100,34294,0.01085,0.99577,1,1.04903,0.000199,0.000199,0.000199
